Source System,MDM Person ID,Source System ID,First Name,Middle Name,Last Name,Suffix,Previous Last Name,Gender,Nationality,Birthdate,Sport Code,Sport Code Conformed,Phone Number,Email Address,City,State,Zipcode,Country,Active
Athlete Historical,907243,35CD9C5D-BBBE-E411-940B-005056AD1287,Constantinos,Michael,Kane,,,M,,1994-03-27 00:00:00,,,3739052824,constantinosk@stanfor.org,Stanford,CA,94305,USA,1
Competition Results,907243,1418265,Constantinos,,Kane,,,M,USA,1994-03-27 00:00:00,VOL,VOL,,,,,,,1
MDM,907243,,Constantinos,M,Kane,,Kane,M,,1994-03-27 00:00:00,VOL,VOL,3739052824,constantinosk@stanfor.org,Stanford,CA,94305,USAA (the),1
Athlete CRM,907243,0033h00001AcuSwAAJ,Constantinos,M,Kane,,Kane,M,,1994-03-27 00:00:00,VOL,VOL,3739052824,constantinosk@stanfor.org,Stanford,CA,94305,USAA (the),1
Training Center,907243,2C3A8566-28E3-E111-8986-005056AD000E,Constantinos,,Kane,,,,,1994-03-27 00:00:00,VOL,VOL,3738080220,,New Berlin,WI,53151,USA,1
Athlete Historical,907378,38BF15A5-D5B6-E411-940B-005056AD1287,Martin,Lee,Sequent,,,F,,1992-11-17 00:00:00,BAS,BAS,9298069357,msequent@yahoo.com,Newtonville,CA,02460,USA,1
MDM,907378,,Martin,Lee,Sequent,,Sequent,F,,1992-11-17 00:00:00,BAS,BAS,9298069357,msequent@yahoo.com,Newtonville,CA,02460,USAA (the),1
Athlete CRM,907378,0033h00001AcuLhAAJ,Martin,Lee,Sequent,,Sequent,F,,1992-11-17 00:00:00,BAS,BAS,9298069357,msequent@yahoo.com,Newtonville,CA,02460,USAA (the),1
Training Center,907378,C7C4D4ED-8304-E511-9E56-005056AD000E,Martin,,Sequent,,,,,1992-11-17 00:00:00,BAS,BAS,,,,,,,1
Athlete Historical,907439,3A2A42E8-48A3-E411-9408-005056AD7D3E,Kathleen,Jane,Newell,,,F,,1978-08-31 00:00:00,ATH,ATH,8687465562,knewell@gmail.com,Ann Arbor,MI,48105,USA,1
Competition Results,907439,725666,Katie,,Newell,,,F,USA,1978-08-31 00:00:00,ATH,ATH,,,,,,,1
MDM,907439,,Kathleen,Jane,Newell,,Newell,F,USA,1978-08-31 00:00:00,ATH,ATH,8687465562,knewell@gmail.com,Ann Arbor,MI,48105,USAA (the),1
Athlete CRM,907439,0033h00001AcqirAAB,Kathleen,,Newell,,Newell,F,,1978-08-31 00:00:00,ATH,ATH,8687465562,knewell@gmail.com,Ann Arbor,MI,48105,USAA (the),1
Athlete Historical,907586,3D831293-48A3-E411-9408-005056AD7D3E,Tucker,Alexander,Barge,,,M,,1981-07-28 00:00:00,Soccer,SOC,8257973122,tucker.bbrge@mac.com,Los Angeles,CA,90048,USA,1
MDM,907586,,Tucker,Alexander,Barge,,Barge,M,,1981-07-28 00:00:00,Soccer,SOC,8257973122,tucker.bbrge@mac.com,Los Angeles,CA,90048,USAA (the),1
Athlete CRM,907586,0033h00001AcqgmAAB,Tucker,,Barge,,Barge,M,,1981-07-28 00:00:00,Soccer,SOC,8257973122,tucker.bbrge@mac.com,Los Angeles,CA,90048,USAA (the),1
Athlete Historical,907601,3DE3B306-49A3-E411-9408-005056AD7D3E,Taiaroa,Alan,Dennison,,,M,,1984-05-28 00:00:00,CAN,CAN,8150077299,tdenniso@outlook.com,Mt Holly,NC,28120,USA,1
Competition Results,907601,687084,Taiaroa,,Dennison,,,M,USA,1984-05-28 00:00:00,CAN,CAN,,,,,,,1
MDM,907601,,Taiaroa,Alan,Dennison,,Dennison,M,USA,1984-05-28 00:00:00,CAN_P,CAN_P,8150077299,tdenniso@outlook.com,Mt Holly,NC,28120,USAA (the),1
Athlete CRM,907601,0033h00001Acl32AAB,Taiaroa,Alan,Dennison,,Dennison,M,,1984-05-28 00:00:00,CAN_P,CAN_P,8150077299,tdenniso@outlook.com,Mt Holly,NC,28120,USAA (the),1
Athlete Historical,907837,43778EAA-49A3-E411-9408-005056AD7D3E,Michael Briggs,Delorean,Tiziani,,,M,,1984-04-21 00:00:00,ATH,ATH,6125535033,mtizzani@gmail.com,Round Rock,TX,78665,USA,1
Athlete Education,907837,0034600001ZpY9SAAV,Michael Briggs,,Tiziani,,,M,,1984-04-21 00:00:00,ATH,ATH,6230565903,mtizzan@outlook.com,,,,,1
Competition Results,907837,620050,Michael Briggs,,Tiziani,,,M,USA,1984-04-21 00:00:00,ATH,ATH,,,,,,,1
MDM,907837,,Michael Briggs,Delorean,Tiziani,,Tiziani,M,USA,1984-04-21 00:00:00,ATH,ATH,6.23056e10,mtizzani@gmail.com,Round Rock,TX,78665,USAA (the),1
Athlete CRM,907837,0033h00001AclYgAAJ,Michael Briggs,Delorean,Tiziani,,Tiziani,M,,1984-04-21 00:00:00,ATH,ATH,6.23056e10,mtizzani@gmail.com,Round Rock,TX,78665,USAA (the),1
Finance,909629,201630,SHANNON,,Solis,,,,,,ATH,ATH,(526) 428-5375,shannon.rowland@gmail.com,San Francisco,CA,94127,USA,1
Athlete Historical,907924,45455A0E-41BF-E411-940B-005056AD1287,Katrin,Lou,Reid,,,F,,1993-08-22 00:00:00,ATH,ATH,4715427278,kreid@hotmail.com,Bellingham,WA,98229,USA,1
Competition Results,907924,1277267,Katrin,,Reid,,,F,USA,1993-08-22 00:00:00,ATH,ATH,,,,,,,1
MDM,907924,,Katrin,Lou,Reid,,Reid,F,USA,1993-08-22 00:00:00,ATH,ATH,4715427278,kreid@hotmail.com,Bellingham,WA,98229,USAA (the),1
Athlete CRM,907924,0033h00001Acuh8AAB,Katrin,Lou,Reid,,Reid,F,,1993-08-22 00:00:00,ATH,ATH,4715427278,kreid@hotmail.com,Bellingham,WA,98229,USAA (the),1
Athlete Historical,908032,47FB7845-74B1-E411-940B-005056AD1287,Dennis,Renee,THOMAS,,Fehringer,F,,1962-11-14 00:00:00,,,8209071192,dennis.thomas@usajudo.us,Colorado Springs,CO,80909,USA,1
MDM,908032,,Dennis,Renee,THOMAS,,THOMAS,F,,1962-11-14 00:00:00,JUD,JUD,8209071192,dennis.thomas@usajudo.us,Colorado Springs,CO,80909,USAA (the),1
Athlete CRM,908032,0033h00001Acm4DAAR,Dennis,Renee,THOMAS,,THOMAS,F,,1962-11-14 00:00:00,JUD,JUD,8209071192,dennis.thomas@usajudo.us,Colorado Springs,CO,80909,USAA (the),1
Training Center,908032,05B67CCB-F077-DF11-AC53-001A648ADFAC,Dennis,,THOMAS,,,,,1962-11-14 00:00:00,JUD,JUD,8209071192,dennis.thomas@usajudo.us,Colorado Springs,CO,80909,USA,1
Finance,912313,204418,Monica,,Lund,,Beckwith-Ludlow,,,,ATH,ATH,(725) 673-8016,mbedell@gmail.com,Indianapolis,IN,46204,USA,1
Competition Results,908200,812406,Tracey,,Taylor Jr,,,M,PAN,1989-07-13 00:00:00,SOC,SOC,,,,,,,1
MDM,934129,,CHRISTOPHER,J,Wagner,,,,,,SKI,SKI,(546) 051-1161,,Garden City,UT,84028,USA,1
Athlete CRM,908200,0033h00001AcqeRAAR,Alex,,Taylor Jr,,Taylor Jr,M,,1989-07-13 00:00:00,SOC,SOC,,ataylorj-@gmail.com,Jacksonville,FL,32225,USAA (the),1
Athlete Historical,908268,4D35EDB8-F6B2-E411-940B-005056AD1287,RANDY,Randall,Martinez,,,M,,1956-12-28 00:00:00,EQU,EQU,7214578297,rmartinezzaol.com,miami beach,FL,33140,USA,1
MDM,908268,,RANDY,Randall,Martinez,,Martinez,M,,1956-12-28 00:00:00,EQU,EQU,7214578297,rmartinezzaol.com,miami beach,FL,33140,USAA (the),1
Athlete CRM,908268,0033h00001Act3PAAR,RANDY,Randall,Martinez,,Martinez,M,,1956-12-28 00:00:00,EQU,EQU,7214578297,rmartinezzaol.com,miami beach,FL,33140,USAA (the),1
Athlete Historical,908510,5288269E-40F7-E311-93FC-005056AD1DA1,Michael Briggs,Thomas,Burrow,,,M,,1970-09-14 00:00:00,SOC,SOC,7286381083,mbbrrow@um.org,Newton,MA,02465-1037,USA,1
Competition Results,908510,101854,Miles,,Burrow,,,M,USA,1970-09-14 00:00:00,SOC,SOC,,,,,,,1
MDM,908510,,Michael Briggs,Thomas,Burrow,,Burrow,M,USA,1970-09-14 00:00:00,SOC,SOC,7286381083,mbbrrow@um.org,Newton,MA,02465-1037,USAA (the),1
Athlete CRM,908510,0033h00001AcfNYAAZ,Michael Briggs,,Burrow,,Burrow,M,,1970-09-14 00:00:00,SOC,SOC,7286381083,mbbrrow@um.org,Newton,MA,02465-1037,USAA (the),1
Athlete Historical,908673,56548970-D7B2-E411-940B-005056AD1287,Tracy,Ann,Leutz,,,F,,1955-09-02 00:00:00,EQU,EQU,9429297554,tleutzztlertdressage.com,Scotts Valley,CA,95066,USA,1
EMR,908673,1743511692956270,Tracy,,Leutz,,,F,,1955-09-02 00:00:00,EQU,EQU,,tleutzzsbcglobal.net,,,,,1
Competition Results,908673,490108,Tracy,,Leutz,,,F,USA,1955-09-02 00:00:00,EQU,EQU,,,,,,,1
MDM,908673,,Tracy,Ann,Leutz,,Leutz,F,USA,1955-09-02 00:00:00,EQU,EQU,9429297554,tleutzztlertdressage.com,Scotts Valley,CA,95066,USAA (the),1
Athlete CRM,908673,0033h00001AclBAAAZ,Tracy,Ann,Leutz,,Leutz,F,,1955-09-02 00:00:00,EQU,EQU,9429297554,tleutzztlertdressage.com,Scotts Valley,CA,95066,USAA (the),1
Athlete Historical,908787,588C0F99-48A3-E411-9408-005056AD7D3E,Rhiann,Metivier,Mettel Ghribi,,,F,,1981-12-25 00:00:00,ATH,ATH,3255148783,rmettelghribi@hotmail.com,Bend,OR,97701,USA,1
Competition Results,908787,595607,Rhiann,,Mettel Ghribi,,,F,USA,1981-12-25 00:00:00,ATH,ATH,,,,,,,1
MDM,908787,,Rhiann,Metivier,Mettel Ghribi,,Mettel Ghribi,F,USA,1981-12-25 00:00:00,ATH,ATH,3255148783,rmettelghribi@hotmail.com,Bend,OR,97701,USAA (the),1
Athlete CRM,908787,0033h00001AcqgvAAB,Rhiann,,Mettel Ghribi,,Mettel Ghribi,F,,1981-12-25 00:00:00,ATH,ATH,3255148783,rmettelghribi@hotmail.com,Bend,OR,97701,USAA (the),1
Athlete Historical,909610,6A9CF861-00B3-E411-940B-005056AD1287,Brody,Ann,Hamin-Gilliam,,,F,,1990-05-10 00:00:00,,,6968710878,brody.hamingilliam@gmail.com,Victor,NY,14564,USA,1
MDM,909610,,Brody,Ann,Hamin-Gilliam,,Hamin-Gilliam,F,,1990-05-10 00:00:00,BOW,BOW,6968710878,brody.hamingilliam@gmail.com,Victor,NY,14564,USAA (the),1
Athlete CRM,909610,0033h00001AcsfFAAR,Brody,Ann,Hamin-Gilliam,,Hamin-Gilliam,F,,1990-05-10 00:00:00,BOW,BOW,6968710878,brody.hamingilliam@gmail.com,Victor,NY,14564,USAA (the),1
Athlete Historical,909629,6AD55200-5CF7-E311-93FC-005056AD437C,SHANNON,Nicole,Solis,,GREGG-ROWBURY,F,USA,1984-09-19 00:00:00,ATH,ATH,5264285375,shannon.rowland@gmail.com,San Francisco,CA,94116,USA,1
Athlete Education,909629,0034600000wFGDFAA4,SHANNON,,Rowland,,,F,,1984-09-19 00:00:00,ATH,ATH,5264285375,shannon.rowland@gmail.com,San Francisco,CA,94116,USA,1
EMR,909629,1657441317006190,SHANNON,,Rowland,,,F,,1984-09-19 00:00:00,ATH,ATH,,shannon.rowland@gmail.com,,,,,1
Competition Results,909629,739315,SHANNON,,Rowland,,,F,USA,1984-09-19 00:00:00,ATH,ATH,,,,,,,1
MDM,909629,,SHANNON,Nicole,Solis,,Rowland,F,USA,1984-09-19 00:00:00,ATH,ATH,5264285375,shannon.rowland@gmail.com,San Francisco,CA,94127,USAA (the),1
Athlete CRM,909629,0033h00001AckiHAAR,SHANNON,Nicole,Solis,,Rowland,F,USA,1984-09-19 00:00:00,ATH,ATH,5264285375,shannon.rowland@gmail.com,San Francisco,CA,94127,USAA (the),1
Finance,909629,201492,Shantia,,Gregg-Rowbuy,,,,,,,,,,SAN FRANCISCO,CA,94116,USA,1
Finance,934129,97241,CHRISTOPHER,J,Wagner,,,,,,SKI,SKI,(546) 051-1161,,Garden City,UT,84028,USA,1
Athlete Historical,909656,6B3DCCE8-D5B6-E411-940B-005056AD1287,Nick,Marie,Willkinson,,,F,,1985-04-27 00:00:00,,,6603999114,nick.willkinson@csus.org,Clovis,CA,93611,USA,1
MDM,909656,,Nick,Marie,Willkinson,,Willkinson,F,,1985-04-27 00:00:00,BAS,BAS,6603999114,nick.willkinson@csus.org,Clovis,CA,93611,USAA (the),1
Athlete CRM,909656,0033h00001AcuLpAAJ,Nick,Marie,Willkinson,,Willkinson,F,,1985-04-27 00:00:00,BAS,BAS,6603999114,nick.willkinson@csus.org,Clovis,CA,93611,USAA (the),1
Athlete Historical,909826,6F1DC08C-D5B6-E411-940B-005056AD1287,NICOLE,Irma,RIVERA,,,F,,1989-02-27 00:00:00,,,7204680766,nicole.rivera@yahoo.com,Lakeside,CA,92040,USA,1
MDM,909826,,NICOLE,Irma,RIVERA,,RIVERA,F,,1989-02-27 00:00:00,BAS,BAS,7204680766,nicole.rivera@yahoo.com,Lakeside,CA,92040,USAA (the),1
Athlete CRM,909826,0033h00001AcuLfAAJ,NICOLE,Irma,RIVERA,,RIVERA,F,,1989-02-27 00:00:00,BAS,BAS,7204680766,nicole.rivera@yahoo.com,Lakeside,CA,92040,USAA (the),1
Training Center,909826,592D3E8A-8304-E511-9E56-005056AD000E,NICOLE,,RIVERA,,,,,1989-02-27 00:00:00,BAS,BAS,,,,,,,1
Finance,909826,209718,Nicoletta,,Rivers,,,,,,BAS,BAS,,,LAKESIDE,CA,92040,USA,1
Athlete Historical,909926,71B10AC0-D5B6-E411-940B-005056AD1287,MALAIKA,Marie,UNDERWOOD,,,F,,1981-06-07 00:00:00,,,5253361117,malaika.underwood@yahoo.com,Atlanta,GA,30306,USA,1
MDM,909926,,MALAIKA,Marie,UNDERWOOD,,UNDERWOOD,F,,1981-06-07 00:00:00,BAS,BAS,5253361117,malaika.underwood@yahoo.com,Atlanta,GA,30306,USAA (the),1
Athlete CRM,909926,0033h00001AcuLkAAJ,MALAIKA,Marie,UNDERWOOD,,UNDERWOOD,F,,1981-06-07 00:00:00,BAS,BAS,5253361117,malaika.underwood@yahoo.com,Atlanta,GA,30306,USAA (the),1
Training Center,909926,49EBD46C-8404-E511-9E56-005056AD000E,MALAIKA,,UNDERWOOD,,,,,1981-06-07 00:00:00,BAS,BAS,,,,,,,1
Finance,909926,209510,Maliek,,Urban,,,,,,BAS,BAS,,,ATLANTA,GA,30306,USA,1
Athlete Historical,910025,73E11C86-CEDE-E411-940C-005056AD1287,Nathalea,,SMITH,,,M,,1991-08-28 00:00:00,,,6246265009,nsmit@outlook.com,West Chester,OH,45069,USA,1
MDM,910025,,Nathalea,David,SMITH,,SMITH,M,,1991-08-28 00:00:00,BAS,BAS,6246265009,nsmit@outlook.com,West Chester,OH,45069,USAA (the),1
Athlete CRM,910025,0033h00001Acf3IAAR,Nathalea,David,SMITH,,SMITH,M,,1991-08-28 00:00:00,BAS,BAS,6246265009,nsmit@outlook.com,West Chester,OH,45069,USAA (the),1
Training Center,910025,D4AD01CD-EB11-E511-9E56-005056AD000E,Nathalea,,SMITH,,,,,1991-08-28 00:00:00,BAS,BAS,,,,,,,1
Finance,910025,209721,Nathanael,DAVID,Smock,,,,,,BAS,BAS,,,WEST CHESTER,OH,45069,USA,1
Athlete Historical,910026,740CE92F-4AA3-E411-9408-005056AD7D3E,Luis Miguel,Alfonso,Olivas,,,M,,1992-10-17 00:00:00,BOX,BOX,7136812290,lolivas@gmail.com,Glendale,AZ,85308,USA,1
MDM,910026,,Luis Miguel,Alfonso,Olivas,,Olivas,M,,1992-10-17 00:00:00,BOX,BOX,7136812290,lolivas@gmail.com,Glendale,AZ,85308,USAA (the),1
Athlete CRM,910026,0033h00001AceicAAB,Luis Miguel,,Olivas,,Olivas,M,,1992-10-17 00:00:00,BOX,BOX,7136812290,lolivas@gmail.com,Glendale,AZ,85308,USAA (the),1
Athlete Historical,910650,81E6A9B7-D5B6-E411-940B-005056AD1287,LAURA,Suzanne,Trunnell,,,F,,1989-06-15 00:00:00,,,9544386675,laura.trunnell@icloud.com,Alexandria,VA,22304,USA,1
MDM,910650,,LAURA,Suzanne,Trunnell,,Trunnell,F,,1989-06-15 00:00:00,BAS,BAS,9544386675,laura.trunnell@icloud.com,Alexandria,VA,22304,USAA (the),1
Athlete CRM,910650,0033h00001AcuLjAAJ,LAURA,Suzanne,Trunnell,,Trunnell,F,,1989-06-15 00:00:00,BAS,BAS,9544386675,laura.trunnell@icloud.com,Alexandria,VA,22304,USAA (the),1
Athlete Historical,910748,83D53331-6E5F-E411-9402-005056AD437C,Amy Diana,Lynn,Muscalu,,,F,USA,1976-08-27 00:00:00,ATH,ATH,4719898862,amydiana.muscalu@gmail.com,Olympia,WA,98501,USA,1
MDM,910748,,Amy Diana,Lynn,Muscalu,,Muscalu,F,USA,1976-08-27 00:00:00,ATH,ATH,4719898862,amydiana.muscalu@gmail.com,Olympia,WA,98501,USAA (the),1
Athlete CRM,910748,0033h00001AciMnAAJ,Amy Diana,Lynn,Muscalu,,Muscalu,F,USA,1976-08-27 00:00:00,ATH,ATH,4719898862,amydiana.muscalu@gmail.com,Olympia,WA,98501,USAA (the),1
Training Center,910748,DCD70D3B-E58C-E211-92C7-005056AD000E,Amy Diana,,Muscalu,,,,USA,1976-08-27 00:00:00,SWI,SWI,4719898862,amydiana.muscalu@gmail.com,Olympia,WA,98501,USA,1
Athlete Historical,911105,8BBE8C3F-AC8C-E511-941A-005056AD565D,KYLE,,RONCHAK,,,M,USA,1995-01-19 00:00:00,SSK,SSK,7623462685,kronca12outlook.com,Arden Hills,MN,55112,USA,1
Athlete Education,911105,0034600000wFG9KAAW,KYLE,,RONCHAK,,,M,,1995-01-19 00:00:00,SSK,SSK,7623462685,kronca12outlook.com,West Jordan,UT,84084,USA,1
EMR,911105,1722257465106150,KYLE,,RONCHAK,,,M,,1995-01-19 00:00:00,SSK,SSK,,,,,,,1
Competition Results,911105,1157004,KYLE,,RONCHAK,,,M,USA,1995-01-19 00:00:00,SSK,SSK,,,,,,,1
MDM,911105,,KYLE,Loken,RONCHAK,,RONCHAK,M,USA,1995-01-19 00:00:00,SSK,SSK,7623462685,kronca12outlook.com,Arden Hills,MN,55112,USAA (the),1
Athlete CRM,911105,0033h00001AceNaAAJ,KYLE,Loken,RONCHAK,,RONCHAK,M,USA,1995-01-19 00:00:00,SSK,SSK,7623462685,kronca12outlook.com,Arden Hills,MN,55112,USAA (the),1
Training Center,911105,36C4CF16-A47A-E011-8145-005056AD000E,KYLE,,RONCHAK,,,,,1995-01-19 00:00:00,SSK,SSK,7623462685,kronchak@gmail.com,Arden Hills,MN,55112,,1
Finance,911105,208849,Kyler,LOKON,Roseman,,,,,,SSK,SSK,,,ARDEN HILLS,MN,55112,USA,1
Athlete Historical,911390,91FC17E5-D6B2-E411-940B-005056AD1287,Elijah,Berendine,Cordle,,,F,,1976-05-01 00:00:00,EQU,EQU,3147535969,ecordle@mac.com,Norwalk,CT,06853,USA,1
MDM,911390,,Elijah,Berendine,Cordle,,Cordle,F,,1976-05-01 00:00:00,EQU,EQU,3147535969,ecordle@mac.com,Norwalk,CT,06853,USAA (the),1
Athlete CRM,911390,0033h00001Act3OAAR,Elijah,,Cordle,,Cordle,F,,1976-05-01 00:00:00,EQU,EQU,3147535969,ecordle@mac.com,Norwalk,CT,06853,USAA (the),1
Athlete Historical,911640,978AD9F2-D5B6-E411-940B-005056AD1287,Cody,Odessa,Yim,,,F,,1992-05-28 00:00:00,,,9149182471,cody.yim@yahoo.com,Lexington,SC,29073,USA,1
MDM,911640,,Cody,Odessa,Yim,,Yim,F,,1992-05-28 00:00:00,BAS,BAS,9149182471,cody.yim@yahoo.com,Lexington,SC,29073,USAA (the),1
Athlete CRM,911640,0033h00001AcuLqAAJ,Cody,Odessa,Yim,,Yim,F,,1992-05-28 00:00:00,BAS,BAS,9149182471,cody.yim@yahoo.com,Lexington,SC,29073,USAA (the),1
Athlete Historical,911774,9AC737F0-B2B3-E411-940B-005056AD1287,Briana,,Wilkerson,,,M,,1986-08-19 00:00:00,,,7613291741,bbilkerson@gmail.com,San Carlos,CA,94070,USA,1
MDM,911774,,Briana,Hiro,Wilkerson,,Wilkerson,M,,1986-08-19 00:00:00,WGT,WGT,7613291741,bbilkerson@gmail.com,San Carlos,CA,94070,USAA (the),1
Athlete CRM,911774,0033h00001AcuK7AAJ,Briana,Hiro,Wilkerson,,Wilkerson,M,,1986-08-19 00:00:00,WGT,WGT,7613291741,bbilkerson@gmail.com,San Carlos,CA,94070,USAA (the),1
Athlete Historical,912031,A07B765A-BAB6-E411-940B-005056AD1287,Deena,Waugh,Hamada,,,F,USA,1946-05-07 00:00:00,EQU,EQU,9694646403,dhamada@gmail.com,Rancho Santa Fe,CA,92067-1522,USA,1
MDM,912031,,Deena,Waugh,Hamada,,Hamada,F,USA,1946-05-07 00:00:00,EQU,EQU,9694646403,dhamada@gmail.com,Rancho Santa Fe,CA,92067-1522,USAA (the),1
Athlete CRM,912031,0033h00001AcmDPAAZ,Deena,Waugh,Hamada,,Hamada,F,USA,1946-05-07 00:00:00,EQU,EQU,9694646403,dhamada@gmail.com,Rancho Santa Fe,CA,92067-1522,USAA (the),1
Athlete Historical,912313,A740E078-49AD-E411-940B-005056AD1287,Monica,Elizabeth,Bedell,,Beckwith-Ludlow,F,,1987-08-04 00:00:00,ATH,ATH,7256738016,mbedell@gmail.com,Indianapolis,IN,46204,USA,1
Competition Results,912313,883851,Monica,,Lund,,,F,USA,1987-08-04 00:00:00,ATH,ATH,,,,,,,1
MDM,912313,,Monica,Elizabeth,Lund,,Beckwith-Ludlow,F,USA,1987-08-04 00:00:00,ATH,ATH,7256738016,mbedell@gmail.com,Indianapolis,IN,46204,USA,1
Athlete CRM,912313,0033h00001AcfiVAAR,Monica,Elizabeth,Lund,,Bedell,F,,1987-08-04 00:00:00,ATH,ATH,7256738016,mbedell@gmail.com,Indianapolis,IN,46204,USAA (the),1
Finance,1000249,209069,EMILY,PAIGE,Gately,,,,,,GYM,GYM,(065) 457-8002,egately_02@sn.com,Coral Springs,FL,33071,USA,1
Athlete Historical,912482,AAE7FCC6-D5B6-E411-940B-005056AD1287,Emma,Melfi,Whitehead,,,F,,1998-10-02 00:00:00,,,5150990131,ewhitehead@hotmail.com,Marietta,GA,30066,USA,1
MDM,912482,,Emma,Melfi,Whitehead,,Whitehead,F,,1998-10-02 00:00:00,BAS,BAS,5150990131,ewhitehead@hotmail.com,Marietta,GA,30066,USAA (the),1
Athlete CRM,912482,0033h00001AcuLlAAJ,Emma,Melfi,Whitehead,,Whitehead,F,,1998-10-02 00:00:00,BAS,BAS,5150990131,ewhitehead@hotmail.com,Marietta,GA,30066,USAA (the),1
Athlete Historical,912603,AE803A42-5BF7-E311-93FC-005056AD437C,Jeffrey,,Madsen,,,M,,1956-05-08 00:00:00,SAI,SAI,,j-adsen@aol.com,Langley,WA,98260-9716,USA,0
Athlete Historical,912603,3AAE165D-4BA3-E411-9408-005056AD7D3E,Jen,,Madsen,,,M,,1956-05-08 00:00:00,SAI,SAI,4710303287,j-adsen@northsails.com,Langley,WA,98260,USA,1
Competition Results,912603,257461,Jeffrey,,Madsen,,,M,USA,1956-05-08 00:00:00,SAI,SAI,,,,,,,1
MDM,912603,,Jen,,Madsen,,Madsen,M,USA,1956-05-08 00:00:00,SAI,SAI,4710303287,j-adsen@northsails.com,Langley,WA,98260,USAA (the),1
Athlete CRM,912603,0033h00001AciVMAAZ,Jen,,Madsen,,Madsen,M,,1956-05-08 00:00:00,SAI,SAI,4710303287,j-adsen@northsails.com,Langley,WA,98260,USAA (the),1
Athlete Historical,912639,AEDF5200-5CF7-E311-93FC-005056AD437C,Erich,Ashely,THOMAS,,,M,,1973-12-01 00:00:00,ATH,ATH,8244317783,ethomas@aol.com,Houston,TX,77005,USA,1
Athlete Education,912639,0034600001PzjcZAAR,Erich,,THOMAS,,,M,,1973-12-01 00:00:00,ATH,ATH,8244317783,ethomas@aol.com,Houston,TX,77005,,1
Competition Results,912639,291008,Erich,,THOMAS,,,M,USA,1973-12-01 00:00:00,ATH,ATH,,,,,,,1
MDM,912639,,Erich,Ashely,THOMAS,,THOMAS,M,USA,1973-12-01 00:00:00,ATH,ATH,8244317783,ethomas@aol.com,Houston,TX,77005,USAA (the),1
Athlete CRM,912639,0033h00001AciYGAAZ,Erich,,THOMAS,,THOMAS,M,,1973-12-01 00:00:00,ATH,ATH,8244317783,ethomas@aol.com,Houston,TX,77005,USAA (the),1
Training Center,912639,AA8E4E6E-08BC-E211-A744-005056AD000E,Erich,,THOMAS,,,,USA,1973-11-30 00:00:00,BOB,BOB,8244317783,ethomas@aol.com,Houston,TX,77005,USA,1
Athlete Historical,912671,B0241BEE-0FBE-E411-940B-005056AD1287,Leeanna,Adam,Fredricks,,,M,USA,1982-11-11 00:00:00,RUG_P,RUG_P,7423201874,lfredricks@gmail.com,East Moriches,NY,11940,USA,1
Athlete Education,912671,0034600000wFGQnAAO,Leeanna,,Fredricks,,,M,,1982-11-11 00:00:00,RUG_P,RUG_P,7423201874,lfredricks@gmail.com,East Moriches,NY,11940,USA,1
EMR,912671,1750244876356110,Leeanna,Adam,Fredricks,,,M,,1982-11-11 00:00:00,RUG,RUG,7423201874,lfredricks@gmail.com,East Moriches,NY,11940,USA,1
Competition Results,912671,1503929,Leeanna,,Fredricks,,,M,USA,1982-11-11 00:00:00,RUG_P,RUG_P,,,,,,,1
MDM,912671,,Leeanna,Adam,Fredricks,,Fredricks,M,USA,1982-11-11 00:00:00,RUG_P,RUG_P,7423201874,lfredricks@gmail.com,Tucson,AZ,85745,USA,1
Athlete CRM,912671,0033h00001AcfELAAZ,Leeanna,Adam,Fredricks,,Fredricks,M,USA,1982-11-11 00:00:00,POW_P,PWR_P,7423201874,leeannaf@usawr.org,Blue Point,NY,11715,USAA (the),1
Training Center,912671,13875185-7E23-E611-BBE8-005056AD000E,Leeanna,,Fredricks,,,,,1982-11-11 00:00:00,RUG_P,RUG_P,7423201874,lfredricks@yahoo.com,East Monriches,NY,11940,,1
MDM,1000349,,Happel,Dakota August,Henriquez,,Henriquez,M,USA,1992-06-04 00:00:00,SAI,SAI,(720) 976-2245,happel.henrique@outlook.com,Long Beach,CA,90803,USA,1
Athlete Historical,912727,B0DA4281-00B3-E411-940B-005056AD1287,Bryce,Lynn,Caldwell Cote,,,F,,1986-04-02 00:00:00,,,6310860024,bcaldwellcote@aol.com,Red Rock,AZ,85145,USA,1
MDM,912727,,Bryce,Lynn,Callan,,Callan,F,,1986-04-02 00:00:00,BOW,BOW,6310860024,bcaldwellcote@aol.com,Tucson,AZ,85653,USA,1
Athlete CRM,912727,0033h00001AcsfGAAR,Bryce,Lynn,Callan,,Callan,F,,1986-04-02 00:00:00,BOW,BOW,6310860024,bcaldwellcote@aol.com,Marana,AZ,85653,USAA (the),1
Finance,912727,403363,Bryce,,Callan,,,,,,BOW,BOW,,bcaldwellcote@aol.com,Tucson,AZ,85742,USA,1
Athlete Historical,912780,B244537E-F450-E511-9416-005056AD565D,Tina,Patrick,Walters,,,M,,2000-04-29 00:00:00,ICE,ICE,8856462244,twalshj-@townisp.com,Shrewsbury,MA,01545,USA,1
MDM,912780,,Tina,Patrick,Walters,,Walters,M,,2000-04-29 00:00:00,ICE,ICE,8856462244,twalshj-@townisp.com,Shrewsbury,MA,01545,USAA (the),1
